Acmaea_depicta	Acmaea_sp	Acteon_punctocaelatus	Acteocina_culcitella	Bulla_gouldiana	Cerithidea_californica	Conus_californicus	Crepidula_lingulata	Crepidula_nummaria	Crepidula_onyx	Epitonium_cooperi	Haliotus_sp	Haminoea_vesicula	Haminoea_virescens	Jaton_festivus	Lacuna_unifasciata	Limnaea_sp	Littorina_sp	Lunatia_lewisii	Margarites_parcipictus	Melampus_olivaceus	Mitrella_carinata	Olivella_biplicata	Olivella_diegoensis	Nassarius_tegulus	Polinices_reclusianus	Pyramidella_sp	Rissoina_sp	Tricolia_compta	Nassarius_perpinguis	Nassarius_mendicus	Nassarius_fossatus	terrestrial_sp	Pecten_circularis	Chione_californiensis	Chione_fluctifraga	Chione_undatella	Clinocardium_nuttallii	Cooperella_subdiaphana	Cryptomya_californica	Cumingia_californica	Diplodonta_orbella	Donax_californica	Donax_gouldii	Heterodonax_bimaculatus	Laevicardium_substriatum	Leptopecten_latiauratus	Lucinisca_nuttallii	Lyonsia_californica	Macoma_irus	Macoma_nasuta	Macoma_secta	Mactra_californica	Mytilus_edulis	Nuculana_sp	Ostrea_lurida	Parvilucina_sp	Petricola_sp	Protothaca_staminea	Psammotreta_biangulata	Rochefortia_sp	Sanguinolaria_nuttallii	Saxidomus_nuttalli	Semele_incongrua	Spisula_dolabriformis	Tagelus_californianus	Tellina_carpenteri	Tellina_idae	Tellina_modesta	Thracia_sp	Tivela_stultorum	Tresus_nuttallii	Zirfaea_pilsbryi	Hemigrapsus_oregonensis	crab_parts	barnacle_fragments	Callianassa_spp	Lytechinus_pictus	Dendraster_excentricus	bryozoan_fragments	worm_tubes_calc	worm_tubes_sand	worm_tubes_clear	worm_tubes_gravel	worm_tubes_mud	Pectenaria_sp	vertebrata_teeth	vertebrata_bones
site_35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	7	0	3	0	0	0	5	0	0	1	0	0	4	0	0	0	999	0	0	0	0	999	999	0	0	999	0	0	0
site_37	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	999	0	0	0	9999	999	0	0	0	0	0	0	0
site_38	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	8	0	1	0	999	0	0	0	999	0	999	0	0	0	0	0	0
site_39	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0	128	0	0	0	1	0	0	0	0	0	0	0	2	0	999	0	0	4	0	999	0	0	0	0	0	0	0
site_40	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	98	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	999	0	0	0	999	0	0	0	0
site_41	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	127	1	0	0	1	0	0	0	0	0	1	0	2	0	999	0	0	9	999	0	999	0	0	0	0	0	0
site_42	0	0	0	0	0	39	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	6	0	0	0	0	0	0	49	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	999	0	999	999	0	0	0	0	0
site_43	0	0	0	0	1	8	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	71	0	0	1	0	0	0	0	154	1	0	0	10	0	0	12	1	0	0	0	0	0	0	5	0	999	1	0	0	0	9999	999	999	0	999	0	0	0
site_44	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	80	0	0	0	0	0	0	0	106	4	0	0	8	0	0	54	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	999	999	0	0	0	0	0
site_45	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	22	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
site_46	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	43	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	2	0	1	0	0	0	0	6	0	0	1	0	0	999	0	0	0	0	0	0	0	0
site_47	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	24	0	0	0	0	0	0	0	0	0	0	0
site_48	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	15	10	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	999	1	0	0	0	0	999	0	0	0	0	0	0
site_49	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	12	16	0	0	16	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
site_50	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	4	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0
site_51	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	9	3	0	0	4	0	0	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	999	0	999	0	0	0	0	0
site_52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	999	5	0	0	0	0	0	0	0	0	0	0	0
site_53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	999	2	0	0	999	0	0	0	0	0	0	0	0
site_54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0
site_55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
site_56	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	999	0	0	0	0	0	0	0	0
